date,123.482,123.482_trend,123.482_0.41yr,123.482_0.5yr,123.482_0.58yr,123.482_0.95yr,123.482_1yr,123.482_jump,123.482_model,123.482_noise,123.482_wtest,flagged
2024-09-04,-25.608603,-28.436942,0.125623,-0.083604,0.696614,1.411984,-0.242980,1.849119,-24.680185,-0.928418,-0.464209,False
2024-10-16,-27.085034,-29.247015,1.124948,1.107359,-0.428448,0.905270,-0.111838,1.849119,-24.800606,-2.284428,-1.142214,False
2024-11-12,-28.391312,-29.767777,0.170374,0.846754,-0.930516,0.285221,0.007629,1.849119,-27.539196,-0.852116,-0.426058,False
2024-12-05,-27.652215,-30.211389,-0.857675,0.064238,-0.916632,-0.301778,0.109135,1.849119,-30.264982,2.612767,1.306384,False
2025-01-01,-32.914822,-30.732151,-1.092974,-0.864218,-0.390670,-0.918258,0.205840,1.849119,-31.943310,-0.971511,-0.485756,False
2025-02-19,-28.514329,-31.679826,0.893925,-0.623732,0.847275,-1.422317,0.262135,2.020128,-29.702411,1.188081,0.594041,False
2025-03-13,-28.763889,-32.105313,1.148176,0.194606,0.972187,-1.300429,0.227940,2.020128,-28.842704,0.078815,0.039408,False
2025-04-08,-30.058823,-32.608161,0.305000,0.990682,0.610641,-0.897000,0.146557,2.020128,-29.432153,-0.626670,-0.313335,False
2025-05-06,-32.376444,-33.149690,-0.930495,1.012334,-0.154520,-0.247535,0.027227,2.020128,-31.422550,-0.953894,-0.476947,False
2025-06-03,-33.694065,-33.691218,-1.021454,0.163870,-0.818970,0.464296,-0.098307,2.020128,-32.981656,-0.712410,-0.356205,False
2025-07-16,-30.181840,-34.522852,0.803610,-1.099227,-0.752829,1.275227,-0.238933,2.020128,-32.514876,2.333036,1.166518,False
2025-08-07,-31.431400,-34.948339,1.169149,-0.980195,-0.216783,1.419963,-0.264818,2.020128,-31.800895,0.369495,0.184748,False
2025-09-16,-32.885144,-35.721951,-0.249811,0.364120,0.805133,1.120059,-0.216719,2.020128,-31.879041,-1.006103,-0.503052,False
2025-10-01,-33.055299,-36.012056,-0.878519,0.845112,0.967261,0.843487,-0.170362,2.020128,-32.384949,-0.670350,-0.335175,False
