date,152.432,152.432_trend,152.432_0.2yr,152.432_0.37yr,152.432_0.44yr,152.432_0.5yr,152.432_0.93yr,152.432_1yr,152.432_jump,152.432_model,152.432_noise,152.432_wtest,flagged
2023-08-16,-12.816793,-14.614743,-0.463856,-0.607007,0.801050,0.074229,0.870428,-0.268920,-0.026553,-14.235370,1.418578,0.709289,False
2023-09-07,-13.042825,-14.924915,0.497130,-0.312615,0.984108,0.649848,1.069529,-0.251726,-0.026553,-12.315193,-0.727632,-0.363816,False
2023-10-04,-14.320229,-15.305580,-0.104466,0.398046,0.301130,0.852893,1.073803,-0.182553,-0.026553,-12.993279,-1.326951,-0.663475,False
2023-11-16,-15.762021,-15.911825,0.398211,0.250762,-0.987771,-0.096597,0.561817,-0.001561,-0.026553,-15.813519,0.051498,0.025749,False
2023-12-13,-15.039425,-16.292490,0.047992,-0.448066,-0.653564,-0.751074,0.036530,0.119161,-0.026553,-17.968063,2.928639,1.464319,False
2024-01-01,-21.803331,-16.560366,-0.592680,-0.600780,0.036706,-0.863822,-0.346514,0.190312,-0.026553,-18.763697,-3.039633,-1.519817,False
2024-02-17,-15.717523,-17.221195,0.379414,0.415269,0.961554,0.144721,-1.025272,0.268901,-0.235469,-16.312077,0.594554,0.297277,False
2024-03-06,-18.902459,-17.474279,-0.445503,0.606923,0.542248,0.615329,-1.104540,0.254356,-0.235469,-17.240935,-1.661524,-0.830762,False
2024-04-17,-19.333976,-18.064807,0.573317,-0.233955,-0.882583,0.689679,-0.829340,0.133331,-0.235469,-18.849829,-0.484147,-0.242074,False
2024-05-16,-19.631928,-18.472553,-0.364182,-0.598227,-0.812965,-0.070597,-0.340011,0.005596,-0.235469,-20.888409,1.256480,0.628240,False
2024-06-13,-18.919607,-18.866239,-0.045351,-0.061362,0.152346,-0.751859,0.224497,-0.119377,-0.235469,-19.702814,0.783208,0.391604,False
2024-07-10,-18.197011,-19.245864,0.464549,0.554431,0.939906,-0.802213,0.714898,-0.214541,-0.235469,-17.824304,-0.372707,-0.186353,False
2024-08-08,-19.494963,-19.653610,-0.592666,0.364734,0.725196,-0.152696,1.045406,-0.265964,-0.235469,-18.765069,-0.729894,-0.364947,False
2024-09-04,-19.772367,-20.033235,0.410341,-0.346826,-0.247735,0.593829,1.090899,-0.255820,-0.235469,-19.024017,-0.748350,-0.374175,False
2024-10-16,-21.203884,-20.623764,-0.558297,-0.335056,-0.956316,0.707506,0.651433,-0.137321,-0.235469,-21.487283,0.283400,0.141700,False
2024-11-12,-20.481288,-21.003389,0.233067,0.376005,-0.200655,0.018990,0.144900,-0.019432,-0.235469,-20.685984,0.204696,0.102348,False
2024-12-05,-20.717595,-21.326774,0.409768,0.598837,0.645710,-0.604668,-0.319647,0.085255,-0.235469,-20.746988,0.029393,0.014696,False
2025-01-01,,-21.706399,-0.592680,0.092926,0.990208,-0.863822,-0.786918,0.190312,-0.235469,-22.911842,,,False
2025-02-19,-22.498435,-22.397236,0.290100,-0.515831,-0.504845,0.207179,-1.097035,0.268503,-0.235469,-23.984634,1.486199,0.743099,False
2025-03-13,-22.724468,-22.707408,-0.582245,0.004847,-0.989247,0.731444,-0.951508,0.243638,-0.235469,-24.485947,1.761479,0.880740,False
2025-04-08,-23.991598,-23.073975,0.272888,0.569555,-0.677191,0.825758,-0.582403,0.170328,-0.235469,-22.730509,-1.261089,-0.630544,False
2025-05-06,-24.279276,-23.468739,0.148485,0.353324,0.351956,0.244529,-0.040111,0.054428,-0.235469,-22.591597,-1.687679,-0.843839,False
2025-06-03,-24.566954,-23.863503,-0.493864,-0.382365,0.999334,-0.546877,0.512717,-0.073873,-0.235469,-24.083900,-0.483054,-0.241527,False
2025-07-16,-24.008746,-24.469748,0.244589,-0.269262,0.006594,-0.723886,1.058956,-0.228969,-0.235469,-24.617195,0.608450,0.304225,False
2025-08-07,-24.234778,-24.779920,-0.589645,0.324472,-0.758797,-0.193779,1.098828,-0.264922,-0.235469,-25.399232,1.164453,0.582227,False
2025-09-16,-24.645747,-25.343869,0.581100,0.398723,-0.665459,0.795518,0.726022,-0.234090,-0.235469,-23.977523,-0.668224,-0.334112,False
2025-10-01,-24.799860,-25.555350,0.047992,0.011392,-0.136101,0.866317,0.469510,-0.192506,-0.235469,-24.724216,-0.075645,-0.037822,False
