datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.41644,2010-06-01,-97.9290,248.1360,-26.1180,1.7180,1.4200,7.3690
2010.41918,2010-06-02,-97.9230,246.2010,-10.3640,1.5870,1.3950,7.1190
2010.42192,2010-06-03,-98.9950,245.6210,-12.0160,1.5940,1.4070,7.1480
2010.42466,2010-06-04,-96.0220,245.4710,-10.1920,1.7880,1.4740,7.6490
2010.42740,2010-06-05,-97.3570,249.2110,-20.9000,1.7270,1.4460,7.5590
2010.43014,2010-06-06,-94.3400,250.2720,-16.3960,1.6980,1.4660,7.3350
2010.43288,2010-06-07,-94.2260,246.4200,-13.9110,1.6920,1.4570,7.4690
2010.43562,2010-06-08,-95.0780,247.4850,-16.9470,1.6890,1.4740,7.5010
2010.43836,2010-06-09,-96.3880,247.4170,-12.5760,1.7610,1.5290,7.7250
2010.44110,2010-06-10,-97.7090,248.0380,-17.5960,1.9130,1.6180,8.4220
2010.44384,2010-06-11,-97.6540,247.9480,-13.1280,1.7460,1.5110,7.6990
2010.44658,2010-06-12,-100.3100,247.6060,-13.2780,1.8320,1.6620,8.3290
2010.44932,2010-06-13,-98.4360,249.9980,-18.1040,2.0060,1.7640,8.8280
2010.45205,2010-06-14,-93.8900,252.6480,5.6980,1.8290,1.6060,8.0640
2010.45479,2010-06-15,-94.9870,250.4110,5.4830,1.7060,1.6490,8.0750
2010.45753,2010-06-16,-94.0470,249.9270,-2.9910,1.9610,1.6670,8.5980
2010.46027,2010-06-17,-94.6200,251.7290,-20.9550,1.8350,1.6800,8.2830
2010.46301,2010-06-18,-98.6630,249.9770,-9.5990,1.8940,1.6290,8.3540
2010.46575,2010-06-19,-96.2210,250.3070,-13.9000,1.7310,1.6140,7.8680
2010.46849,2010-06-20,-92.7410,246.6990,-13.0750,1.7790,1.6840,8.2290
2010.47123,2010-06-21,-94.0640,250.7160,8.9390,1.7980,1.4750,7.6810
2010.47397,2010-06-22,-97.2250,248.5200,-0.2130,2.0180,1.7490,8.8120
2010.47671,2010-06-23,-90.1500,251.0610,17.3980,1.7710,1.5980,8.1390
2010.47945,2010-06-24,-90.7680,251.5480,7.9530,2.0280,1.9410,9.5660
2010.48219,2010-06-25,-92.9500,251.6110,22.1440,2.0840,1.8080,9.1180
2010.48493,2010-06-26,-99.6380,251.7540,0.1220,1.8390,1.7420,8.6230
2010.48767,2010-06-27,-100.9120,249.9330,-2.5760,1.8620,1.6380,8.2570
2010.49041,2010-06-28,-91.5520,246.8650,-17.0490,1.8550,1.6650,8.5420
2010.49315,2010-06-29,-94.1090,250.9690,10.4980,1.9250,1.7600,8.8660
2010.49589,2010-06-30,-90.8120,249.7500,13.2170,1.7970,1.5510,8.1140
2010.49863,2010-07-01,-97.9640,252.0770,1.4160,1.8600,1.7400,8.8560
2010.50137,2010-07-02,-93.5670,252.2990,7.9650,1.7660,1.7310,8.5580
2010.50411,2010-07-03,-94.3840,250.1710,23.9910,1.8080,1.6700,8.4980
2010.50685,2010-07-04,-91.2440,250.4970,22.7740,1.8510,1.7010,8.6820
2010.50959,2010-07-05,-91.8770,253.7640,21.5340,1.8210,1.7040,8.6280
2010.51233,2010-07-06,-94.1090,254.9330,17.3300,1.9130,1.7610,8.8490
2010.51507,2010-07-07,-93.7030,252.9610,-0.3850,1.8380,1.6790,8.6200
2010.51781,2010-07-08,-92.6260,254.9660,8.4990,1.7830,1.6890,8.4350
2010.52055,2010-07-09,-93.7240,253.6280,7.1590,1.8990,1.7550,8.7690
2010.52329,2010-07-10,-94.7720,257.1000,2.7710,1.9770,1.8070,8.9080
2010.52603,2010-07-11,-92.7330,259.6210,25.4620,1.9070,1.6860,8.6250
2010.52877,2010-07-12,-93.2410,248.7980,-9.9080,1.9810,1.8370,8.9720
2010.53151,2010-07-13,-96.6220,257.3070,29.4830,1.9640,1.8780,9.2900
