datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.80548,2010-10-21,-46.0980,113.9250,-168.2750,0.8870,0.9920,4.0490
2010.80822,2010-10-22,-45.7740,109.8080,-185.0080,0.8750,0.9620,3.9820
2010.81096,2010-10-23,-48.3570,111.9380,-173.5380,0.9020,1.0080,4.1810
2010.81370,2010-10-24,-52.4250,112.1870,-177.1930,0.8570,0.9430,3.8310
2010.81644,2010-10-25,-49.6190,112.7680,-180.6220,0.8520,0.9330,3.8290
2010.81918,2010-10-26,-48.0800,110.2800,-181.3800,0.8580,0.9470,3.9100
2010.82192,2010-10-27,-48.4940,109.9290,-178.7330,0.8620,0.9400,3.8940
2010.82466,2010-10-28,-51.9640,111.1470,-177.5530,0.8570,0.9370,3.9340
2010.82740,2010-10-29,-49.5390,111.4410,-181.6990,0.8500,0.9300,3.7900
2010.83014,2010-10-30,-49.9880,110.4800,-184.2680,0.8360,0.8930,3.6710
2010.83288,2010-10-31,-51.7860,112.4040,-183.7660,0.8610,0.9290,3.7550
2010.83562,2010-11-01,-49.0760,111.8080,-185.8430,0.8850,0.9240,3.8420
2010.83836,2010-11-02,-50.6720,111.0600,-190.8360,0.8430,0.9230,3.7450
2010.84110,2010-11-03,-53.1830,111.6530,-189.0140,0.8800,0.9620,4.0170
2010.84384,2010-11-04,-53.1370,112.6910,-181.2830,0.8630,0.9510,3.9090
2010.84658,2010-11-05,-53.9550,113.7570,-176.0440,0.8660,0.9320,3.9010
2010.84932,2010-11-06,-50.8650,111.4740,-174.2390,0.8530,0.9410,3.8890
2010.85205,2010-11-07,-52.5670,112.1290,-181.1240,0.8850,0.9660,3.9960
2010.85479,2010-11-08,-52.8980,111.8660,-178.9010,0.8780,0.9520,4.0160
2010.85753,2010-11-09,-51.0630,113.7390,-185.2890,0.8660,0.9390,3.9490
2010.86027,2010-11-10,-51.9420,112.0810,-179.7060,0.8680,0.9450,3.9110
2010.86301,2010-11-11,-50.5750,112.2550,-176.2580,0.8650,0.9350,3.9490
2010.86575,2010-11-12,-51.3370,114.2180,-176.8680,0.8600,0.9550,3.9350
2010.86849,2010-11-13,-54.2260,114.8600,-178.6130,0.8470,0.9250,3.8190
2010.87123,2010-11-14,-51.1640,113.5900,-172.9210,0.8510,0.9370,3.8850
2010.87397,2010-11-15,-52.8200,113.6660,-175.9480,0.8460,0.9280,3.8370
2010.87671,2010-11-16,-53.0850,112.4680,-178.1540,0.8610,0.9460,3.9150
2010.87945,2010-11-17,-51.4650,114.4910,-170.8170,0.8530,0.9220,3.8320
2010.88219,2010-11-18,-52.1630,114.9490,-174.7930,0.8390,0.9340,3.7890
2010.88493,2010-11-19,-51.8260,111.8080,-171.8160,0.8600,0.9770,3.9330
2010.88767,2010-11-20,-51.4880,113.5830,-173.2960,0.8320,0.9230,3.7600
2010.89041,2010-11-21,-48.7020,112.7670,-174.7030,0.8880,0.9670,3.9600
