date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2011-02-15,-31.000000,-20.321570,0.506938,0.230400,-0.110516,-1.559801,-11.015029,-32.269578,1.269578,0.423193,False
2011-03-21,-32.000000,-20.474900,-0.823980,-0.695435,-0.170266,-1.559801,-11.069073,-34.793457,2.793457,0.931152,False
2011-04-26,-33.000000,-20.637251,-1.118200,-1.417795,-0.233146,-1.559801,-11.116187,-36.082379,3.082379,1.027460,False
2011-05-19,-33.000000,-20.740974,-0.439232,-1.612710,-0.273045,-1.559801,-11.141709,-35.767471,2.767471,0.922490,False
2011-06-28,-35.000000,-20.921363,1.031867,-1.360854,-0.341797,-1.559801,-11.179017,-34.330965,-0.669035,-0.223012,False
2011-07-26,-34.000000,-21.047636,1.122347,-0.795892,-0.389353,-1.559801,-11.200611,-33.870946,-0.129054,-0.043018,False
2011-08-24,-36.000000,-21.178418,0.206906,-0.021649,-0.438031,-1.559801,-11.219702,-34.210694,-1.789306,-0.596435,False
2011-09-20,-33.000000,-21.300180,-0.839333,0.708031,-0.482761,-1.559801,-11.234911,-34.708956,1.708956,0.569652,False
2011-10-18,-34.000000,-21.426453,-1.205399,1.304310,-0.528482,-1.559801,-11.248448,-34.664273,0.664273,0.221424,False
2011-11-18,-38.000000,-21.566254,-0.419584,1.614216,-0.578234,-1.559801,-11.261172,-33.770831,-4.229169,-1.409723,False
2011-12-20,-36.000000,-21.710566,0.831687,1.463381,-0.628548,-1.559801,-11.272197,-32.876044,-3.123956,-1.041319,False
2012-01-12,-35.000000,-21.814154,1.218980,1.080165,-0.663959,-1.559801,-11.278986,-33.017755,-1.982245,-0.660748,False
2012-02-21,-37.000000,-21.994050,0.274372,0.067429,-0.723948,-1.559801,-11.288898,-35.224896,-1.775104,-0.591701,False
2012-03-01,-38.103830,-22.034527,-0.099987,-0.182913,-0.737167,-1.559801,-11.290841,-35.905237,-2.198593,-0.732864,False
2012-04-01,-41.053740,-22.173946,-1.111348,-0.975872,-0.781876,-1.559801,-11.296839,-37.899683,-3.154057,-1.051352,False
2012-05-01,-41.528737,-22.308869,-1.002578,-1.488005,-0.823870,-1.559801,-11.301740,-38.484864,-3.043873,-1.014624,False
2012-06-01,-39.316619,-22.448288,0.120836,-1.610966,-0.865878,-1.559801,-11.306016,-37.670114,-1.646505,-0.548835,False
2012-07-01,-36.671234,-22.583210,1.102565,-1.305092,-0.905122,-1.559801,-11.309511,-36.560172,-0.111063,-0.037021,False
2012-08-01,-36.073828,-22.722630,0.990512,-0.635094,-0.944151,-1.559801,-11.312560,-36.183725,0.109897,0.036632,False
2012-09-01,-37.764428,-22.862049,-0.141650,0.210568,-0.981566,-1.559801,-11.315128,-36.649626,-1.114802,-0.371601,False
2012-10-01,-39.571671,-22.996972,-1.111348,0.975872,-1.016176,-1.559801,-11.317227,-37.025652,-2.546018,-0.848673,False
2012-11-01,-39.277750,-23.136391,-0.978154,1.498908,-1.050231,-1.559801,-11.319058,-36.544727,-2.733023,-0.911008,False
2012-12-01,-36.974129,-23.271313,0.120836,1.610966,-1.081477,-1.559801,-11.320554,-35.501344,-1.472786,-0.490929,False
2013-01-01,-35.044615,-23.410733,1.119804,1.288340,-1.111946,-1.559801,-11.321860,-34.996197,-0.048419,-0.016140,False
2013-02-01,-35.715922,-23.550535,0.963331,0.607169,-1.140590,-1.559801,-11.322962,-36.003387,0.287465,0.095822,False
2013-03-01,-38.684579,-23.676807,-0.064966,-0.159686,-1.164777,-1.559801,-11.323807,-37.949844,-0.734735,-0.244912,False
2013-04-01,-41.315641,-23.816608,-1.097989,-0.959018,-1.189649,-1.559801,-11.324601,-39.947667,-1.367974,-0.455991,False
2013-05-01,-41.197862,-23.951900,-1.018312,-1.480441,-1.211772,-1.559801,-11.325249,-40.547476,-0.650386,-0.216795,False
2013-06-01,-38.487661,-24.091702,0.096385,-1.612865,-1.232583,-1.559801,-11.325815,-39.726381,1.238720,0.412907,False
2013-07-01,-35.703764,-24.226994,1.093381,-1.313392,-1.250706,-1.559801,-11.326277,-38.583789,2.880025,0.960008,False
2013-08-01,-35.209903,-24.366795,1.000648,-0.645825,-1.267316,-1.559801,-11.326680,-38.165770,2.955867,0.985289,False
2013-09-01,-36.936223,-24.506597,-0.127740,0.201331,-1.281749,-1.559801,-11.327019,-38.601575,1.665351,0.555117,False
2013-10-01,-38.612500,-24.641889,-1.106962,0.970252,-1.293618,-1.559801,-11.327296,-38.959314,0.346814,0.115605,False
2013-11-01,-38.215680,-24.781690,-0.982317,1.497117,-1.303694,-1.559801,-11.327538,-38.457924,0.242244,0.080748,False
2013-12-01,-36.153731,-24.916982,0.117297,1.611252,-1.311312,-1.559801,-11.327735,-37.387282,1.233551,0.411184,False
2014-01-01,-34.863319,-25.056784,1.119804,1.288340,-1.316966,-1.559801,-11.327907,-36.853315,1.989996,0.663332,False
2014-02-01,-36.314516,-25.196585,0.963331,0.607169,-1.320356,-1.559801,-11.328052,-37.834295,1.519779,0.506593,False
2014-03-01,-39.948300,-25.322857,-0.064966,-0.159686,-1.321468,-1.559801,-11.328163,-39.756941,-0.191359,-0.063786,False
2014-04-23,-45.000000,-25.561873,-1.162416,-1.375135,-1.318498,-1.559801,-11.328331,-42.306055,-2.693945,-0.897982,False
2014-05-07,-44.000000,-25.625009,-0.859036,-1.541114,-1.316606,-1.559801,-11.328368,-42.229934,-1.770066,-0.590022,False
2014-06-17,-38.000000,-25.809908,0.718442,-1.502980,-1.308414,-1.559801,-11.328461,-40.791122,2.791122,0.930374,False
2014-07-15,-40.000000,-25.936180,1.219184,-1.047891,-1.300556,1.010149,-12.896961,-38.952255,-1.047745,-0.349248,False
2014-08-13,-40.000000,-26.066963,0.636591,-0.326714,-1.290495,1.010149,-14.080639,-40.118071,0.118071,0.039357,False
2014-09-01,-40.000000,-26.152647,-0.127740,0.201331,-1.282850,1.010149,-14.673057,-41.024814,1.024814,0.341605,False
2014-10-15,-41.000000,-26.351075,-1.218048,1.252719,-1.261974,1.010149,-15.647460,-42.215689,1.215689,0.405230,False
2014-11-21,-43.000000,-26.517935,-0.299291,1.620737,-1.241033,1.010149,-16.168250,-41.595623,-1.404377,-0.468126,False
2014-12-04,-41.000000,-26.576562,0.241823,1.599069,-1.232951,1.010149,-16.305974,-41.264446,0.264446,0.088149,False
2015-01-12,-40.000000,-26.752441,1.219017,1.079538,-1.206480,1.010149,-16.617580,-41.267796,1.267796,0.422599,False
2015-02-09,-42.000000,-26.878713,0.723653,0.394805,-1.185446,1.010149,-16.771146,-42.706698,0.706698,0.235566,False
2015-03-19,-45.000000,-27.050083,-0.760172,-0.644548,-1.154246,1.010149,-16.916042,-45.514941,0.514941,0.171647,False
2015-04-24,-47.000000,-27.212433,-1.149033,-1.389768,-1.121938,1.010149,-17.006947,-46.869971,-0.130029,-0.043343,False
2015-05-15,-46.000000,-27.307138,-0.591251,-1.596372,-1.101885,1.010149,-17.045406,-46.631902,0.631902,0.210634,False
2015-06-12,-47.000000,-27.433410,0.539028,-1.550057,-1.073798,1.010149,-17.084526,-45.592613,-1.407387,-0.469129,False
2015-07-10,-46.000000,-27.559682,1.206004,-1.150547,-1.044206,1.010149,-17.113181,-44.651463,-1.348537,-0.449512,False
2015-08-19,-47.000000,-27.740071,0.409713,-0.161071,-0.999402,1.010149,-17.141350,-44.622032,-2.377968,-0.792656,False
2015-09-22,-46.000000,-27.893402,-0.898215,0.757879,-0.959064,1.010149,-17.157184,-45.139837,-0.860163,-0.286721,False
